"Name","Symbol","Exchange","Last","Bid","Ask","Extended Hours","Extended Hours (%)","Open","Prev.","High","Low","Chg.","Chg. %","Vol.","Next Earnings Date","Time","Market Cap","Revenue","Average Vol. (3m)","EPS","P/E Ratio","Beta","Dividend","Yield","5 Minutes","15 Minutes","30 Minutes","Hourly","5 Hours","Daily","Weekly","Monthly","Daily","1 Week","1 Month","YTD","1 Year","3 Years"
"Ferrari NV","RACE.K","NYSE","336.95","-","-","337.60","0.19%","338.56","338.34","338.96","336.87","-1.39","-0.41%","183,471","Feb 01, 2024","15:59:59","60,830,000,000","5,810,000,000","344,555","6.49","46.99","1.03","1.81","0.59%","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Buy","Strong Buy","-0.41%","0.27%","-8.04%","57.29%","55.57%","46.73%"
"LPL Financial Holdings Inc","LPLA.O","NASDAQ","228.46","91.39","230.85","228.46","--","227.73","227.67","229.48","227.49","+0.79","+0.35%","191,836","Feb 01, 2024","16:00:01","17,280,000,000","9,740,000,000","662,653","15.00","15.24","0.911","1.2","0.53%","Strong Sell","Sell","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Buy","0.35%","2.44%","5.37%","5.69%","6.35%","119.57%"
"Thermo Fisher Scientific Inc","TMO","NYSE","532.97","520.98","538.00","534.11","0.21%","531.57","531.65","536.00","531.50","+1.32","+0.25%","707,441","Jan 31, 2024","16:00:00","205,920,000,000","43,420,000,000","1,831,905","15.33","34.82","0.813","1.4","0.26%","Strong Sell","Sell","Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","0.25%","1.22%","8.13%","-3.22%","-4.32%","15.15%"
"Arista Networks","ANET.K","NYSE","236.97","-","-","237.30","0.14%","237.56","237.73","237.85","236.35","-0.76","-0.32%","715,345","Feb 15, 2024","15:59:59","73,740,000,000","5,600,000,000","2,035,329","6.17","38.41","1.11","-","-","Strong Sell","Strong Sell","Strong Sell","Sell","Buy","Strong Buy","Strong Buy","Strong Buy","-0.32%","0.69%","8.06%","95.28%","94.43%","229.67%"
"Floor & Decor Holdings Inc","FND","NYSE","113.89","95.00","114.50","111.62","-1.99%","114.94","115.27","115.23","113.32","-1.38","-1.20%","1,004,351","Feb 22, 2024","16:00:00","12,140,000,000","4,410,000,000","2,100,602","2.62","43.28","1.95","-","-","Neutral","Neutral","Sell","Sell","Strong Buy","Strong Buy","Strong Buy","Strong Buy","-1.20%","-0.11%","23.52%","63.56%","60.43%","20.74%"
"McKesson Corporation","MCK","NYSE","457.78","450.00","459.50","458.40","0.14%","459.25","457.49","461.71","457.24","+0.29","+0.06%","391,947","Jan 31, 2024","","60,910,000,000","291,100,000,000","807,199","25.53","17.95","-","2.48","0.54%","Strong Sell","Sell","Sell","Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","0.06%","1.12%","0.24%","22.04%","22.04%","162.82%"
"Booz Allen Hamilton Holding","BAH","NYSE","127.16","-","-","127.15","-0.01%","126.11","127.29","128.35","123.53","-0.13","-0.10%","1,068,441","Jan 26, 2024","16:00:00","16,580,000,000","10,030,000,000","822,914","2.22","57.52","-","1.88","1.48%","Strong Sell","Strong Sell","Neutral","Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","-0.10%","1.11%","2.16%","21.66%","22.05%","45.79%"
"McCormick & Company Incorporated","MKC","NYSE","68.22","67.67","69.00","68.23","0.01%","67.85","67.79","68.50","67.79","+0.43","+0.63%","878,191","Jan 25, 2024","","18,310,000,000","6,610,000,000","2,214,242","2.41","28.02","0.661","1.68","2.46%","Neutral","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Neutral","Strong Sell","Strong Sell","0.63%","0.52%","6.13%","-17.70%","-18.92%","-28.05%"
"US Dollar Index",".DXY","NYSE","101.24","-","-","--","--","100.87","100.99","101.30","100.62","+0.26","+0.26%","-","--","16:45:00","-","","-","-","-","-","-","-","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Sell","Strong Sell","Strong Sell","Sell","0.25%","-0.59%","-1.48%","-2.20%","-2.50%","12.50%"
"Global Blockchain Acquisition Corp","GBBK.O","NASDAQ","10.54","-","-","--","--","10.54","10.55","10.55","10.54","-0.04","-0.38%","112","--","16:00:00","75,870,000","","6,893","0.204","46.19","-0.027","-","-","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Neutral","Neutral","Strong Buy","Strong Buy","-0.38%","-0.01%","-0.09%","4.46%","4.15%","-"
"Blockchain Technologies","HBLK.TO","TSX","16.58","16.42","16.51","--","--","16.86","17.00","16.86","16.45","-0.42","-2.47%","2,484","--","15:19:33","29,240,000","","3,191","-","-","-","-","-","Neutral","Neutral","Neutral","Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","-2.47%","8.72%","36.57%","96.91%","96.91%","5.27%"
"SKULL/BTC - Pirate Blocks Bitcoin","SKULL/BTC - Pirate Blocks Bitcoin","YoBit","0.00000001","-","0.00000001","--","--","0.00000001","0.00000001","0.00000001","0.00000001","0.00000000","0%","-","--","19:00:22","-","","-","-","-","-","-","-","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","0.00%","0.00%","0.00%","0.00%","0.00%","-50.00%"
"Feathercoin","FTC/USD","Investing.com","0.000848","-","-","--","--","0.000867","0.000867","0.001309","0.000846","-0.000019","-2.16%","-","--","16:54:25","-","","-","-","-","-","-","-","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Strong Sell","-2.34%","-3.06%","-10.10%","-79.02%","-78.26%","-93.38%"
"Feathercoin BTC","FTC/BTC","Investing.com","0.00000002","-","-","--","--","0.00000002","0.00000002","0.00000003","0.00000002","0.00000000","0%","3,655,458","--","16:42:07","-","","-","-","-","-","-","-","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Strong Sell","Sell","0.00%","0.00%","-33.33%","-91.67%","-91.30%","-95.83%"
"Alphabet Inc Class A","GOOGL.O","NASDAQ","140.23","-","-","140.00","-0.16%","140.78","140.37","141.14","139.75","-0.14","-0.10%","15,891,363","Feb 01, 2024","","1.76T","297,130,000,000","28,937,367","5.24","26.97","1.05","-","-","Strong Sell","Strong Sell","Sell","Sell","Strong Buy","Strong Buy","Strong Buy","Strong Buy","-0.10%","-0.14%","3.88%","58.94%","58.54%","59.56%"
"United States 2-Year","TUc1=","NYSE","4.281","-","-","--","--","4.250","4.242","4.293","4.248","+0.039","+0.91%","-","--","16:49:57","-","","-","-","-","-","-","-","Strong Buy","Neutral","Strong Buy","Strong Buy","Strong Sell","Strong Sell","Strong Sell","Buy","0.91%","-1.62%","-7.85%","-3.32%","-1.94%","3221.18%"
"CMS Energy Corporation","CMS","NYSE","57.99","52.80","61.00","58.00","0.02%","57.27","57.46","58.01","57.22","+0.54","+0.93%","1,299,527","Feb 01, 2024","","16,920,000,000","7,790,000,000","2,696,193","2.54","22.74","-","1.95","3.39%","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Neutral","Buy","Neutral","0.93%","1.90%","2.19%","-8.43%","-9.64%","-1.98%"
"Automatic Data Processing Inc","ADP.O","NASDAQ","232.49","231.28","237.00","232.49","--","232.12","231.61","233.37","231.38","+0.88","+0.38%","1,128,310","Jan 31, 2024","","95,620,000,000","18,310,000,000","1,687,528","8.46","27.51","-","5.6","2.42%","Sell","Strong Buy","Strong Buy","Strong Buy","Buy","Neutral","Strong Buy","Buy","0.38%","1.53%","1.45%","-2.67%","-3.38%","32.95%"
"Ethereum","ETH/USD","Investing.com","2,342.57","-","-","--","--","2,358.80","2,358.80","2,443.59","2,338.46","-16.23","-0.69%","654,122","--","16:55:45","-","","-","-","-","-","-","-","Strong Sell","Strong Sell","Strong Sell","Sell","Strong Buy","Strong Buy","Strong Buy","Strong Buy","-0.39%","4.91%","15.80%","96.51%","95.67%","221.09%"
"PepsiCo Inc","PEP.O","NASDAQ","169.39","-","-","169.50","0.06%","169.40","169.40","169.54","168.70","-0.01","-0.01%","2,899,754","Feb 09, 2024","","235,650,000,000","91,620,000,000","5,626,592","6.02","28.12","0.567","5.06","2.99%","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Neutral","Sell","-0.01%","1.45%","1.33%","-6.24%","-6.92%","14.90%"
